neuron_id,kind,theme,fire_rate,mean_active,n_fires,cohens_d_token,cohens_d_sample
5537,top_active,weighing personal risk against group responsibility,0.0497,38.3392,11362,-0.024,-0.106
51100,top_active,NO CLEAR THEME,0.0001,105.4663,27,0.000,-0.058
26205,top_active,weighing personal risk against social responsibility,0.0291,38.8885,6664,-0.023,-0.068
8551,top_active,deciding whether to take responsibility,0.0067,45.8186,1532,-0.053,-0.198
55923,top_active,weighing personal risk against group benefit,0.0018,55.8150,411,-0.010,-0.001
18163,top_active,weighing personal risk against moral responsibility,0.0016,55.9811,365,-0.002,0.003
22993,top_active,weighing personal cost vs group benefit,0.0005,70.2040,107,0.000,0.069
24807,top_active,deciding whether to take responsibility,0.0212,38.1628,4842,0.036,0.076
36797,top_active,weighing personal cost vs group benefit,0.0001,98.6307,25,0.000,-0.058
18475,top_active,weighing personal risk against group responsibility,0.0005,66.1805,121,-0.064,-0.212
43519,top_active,weighing personal responsibility against group needs,0.0003,72.5816,78,0.000,-0.015
6909,top_active,weighing personal responsibility against potential consequences,0.0024,49.4393,549,0.008,0.047
16968,top_active,sense of responsibility to act,0.0010,57.1719,227,0.000,0.046
12457,top_active,weighing personal risk against group responsibility,0.0051,43.9850,1158,0.015,0.057
52580,top_active,weighing personal risk against group benefit,0.0007,59.8192,159,0.000,0.037
38577,top_active,weighing personal risk against community responsibility,0.0035,45.2409,804,0.001,0.015
36418,top_active,weighing personal risk against group responsibility,0.0114,37.8131,2615,0.032,0.084
33975,top_active,weighing personal risk against group benefit,0.0019,48.7394,438,-0.004,-0.014
6054,top_active,deciding whether to take responsibility,0.0061,40.5717,1397,-0.053,-0.199
9935,top_active,weighing personal cost vs group benefit,0.0001,84.1640,31,0.000,-0.080
53160,top_active,weighing personal cost vs group benefit,0.0002,71.7239,56,0.000,0.000
33457,top_active,weighing personal risk against group benefit,0.0453,31.3541,10366,0.044,0.136
14456,top_active,weighing personal risk against group benefit,0.0013,50.5732,307,-0.052,-0.145
10913,top_active,willingness to volunteer for a public good,0.0006,57.9430,146,0.000,0.127
22142,top_active,weighing personal risk against group benefit,0.0004,62.6415,97,0.000,0.012
26410,top_active,weighing personal risk against responsibility to others,0.0110,36.6801,2506,-0.033,-0.101
45891,top_active,deciding whether to take action for others,0.0006,57.1520,145,0.000,0.033
43325,top_active,weighing personal effort against group needs,0.0002,70.6544,55,0.000,0.081
51265,top_active,weighing personal discomfort against group benefit,0.0006,57.3819,138,0.000,0.082
1337,top_active,weighing personal responsibility against collective action,0.0034,42.5224,767,0.010,0.019
3928,top_active,weighing personal risk against group responsibility,0.0001,79.2788,34,0.000,0.058
45205,top_active,weighing personal risk against group responsibility,0.0061,38.5889,1387,-0.014,-0.062
28649,top_active,weighing personal responsibility against group action,0.0011,50.0341,253,0.027,0.101
39060,top_active,deciding whether to take responsibility,0.0059,38.1694,1355,-0.051,-0.186
13058,top_active,weighing risks and responsibilities in decision-making,0.0081,36.0210,1846,0.011,0.045
36689,top_active,reluctance to take responsibility,0.0083,35.7208,1891,-0.058,-0.228
20463,top_active,weighing personal risk against group responsibility,0.0087,35.4096,1983,0.021,0.047
12137,top_active,NO CLEAR THEME,0.0001,78.9001,29,0.000,0.000
18950,top_active,NO CLEAR THEME,0.0001,76.0701,33,0.000,0.000
36404,top_active,weighing personal responsibility against group needs,0.0030,41.0869,675,-0.013,-0.022
28601,top_active,weighing personal effort against uncertain outcomes,0.0001,75.6141,33,0.000,0.081
4075,top_active,weighing personal cost vs group benefit,0.0001,74.6257,34,0.000,0.013
995,top_active,willingness to take action for the group,0.0012,46.8545,279,0.000,0.132
44665,top_active,weighing personal risk vs group benefit,0.0001,81.9718,24,0.000,0.058
14879,top_active,deciding whether to take action for others,0.0026,41.3271,591,0.020,0.040
51840,top_active,weighing personal cost vs group benefit,0.0002,68.1064,47,0.000,0.001
45993,top_active,willingness to take responsibility,0.0005,55.9585,110,0.000,0.100
16120,top_active,weighing personal risk against group benefit,0.0003,64.6083,58,0.000,-0.082
